Stage,BeakerID,MatePair,Treatment,PhotoID,SampleID,AL1_mm,AL2_mm,BL_mm,stomach_mm,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0038,49,0.325,0.325,0.247,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0040,51,0.341,0.335,0.251,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0042,54,,,,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0053,66,0.319,0.326,0.253,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0056,70,0.307,0.308,0.245,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0057,71,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0057,72,0.329,0.333,0.251,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0059,74,0.321,0.322,0.243,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0059,75,,,,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0065,77,0.249,0.244,0.202,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0068,80,0.334,0.334,0.259,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0071,83,0.261,0.259,0.22,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0072,84,0.324,0.319,0.243,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0006,5,0.336,0.342,0.27,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0009,8,0.369,0.358,0.273,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0013,12,0.369,0.362,0.296,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0015,14,0.312,0.318,0.236,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0018,17,0.282,0.319,0.254,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0019,18,0.363,0.367,0.28,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0020,19,0.372,0.362,0.27,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0023,22,0.355,0.358,0.274,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0029,27,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0034,32,,,,0.002,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0036,34,0.365,0.351,0.276,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0037,35,0.39,0.386,0.276,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0038,36,0.3,0.296,0.247,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0004,3,0.267,0.269,0.242,0.002,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0005,4,0.285,0.293,0.221,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0006,5,0.274,0.277,0.232,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0008,7,0.305,0.312,0.243,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0009,8,0.285,0.286,0.235,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0011,10,0.305,0.304,0.223,0.004,,,,,,,,,,,,,,,,,
